nominal_head_id,nominal_head_lemma,nominal_head_upos,dependent_id,dependent_lemma,dependent_upos,dependent_deprel,distance,position,num_dependents_nominal,num_dependents_dependent,ezafe_label,is_verbal,source_file
2.0,ēn,PRON,1.0,čahār,NUM,nummod,1.0,before,2,1,2,0,Col_RFS_TD2.conllu
2.0,ēn,PRON,4.0,azabar-nibišt,ADJ,amod,2.0,after,2,2,2,0,Col_RFS_TD2.conllu
6.0,spandyād,PROPN,5.0,hērbed,NOUN,nmod,1.0,before,2,1,2,0,Col_RFS_TD2.conllu
6.0,spandyād,PROPN,8.0,farroxburzēn,PROPN,nmod,2.0,after,2,2,1,0,Col_RFS_TD2.conllu
8.0,farroxburzēn,PROPN,7.0,ī,DET,det,1.0,before,1,1,2,0,Col_RFS_TD2.conllu
14.0,ham-sāl,NOUN,13.0,andar,ADP,case,1.0,before,1,1,2,0,Col_RFS_TD2.conllu
17.0,paččēn,NOUN,16.0,az,ADP,case,1.0,before,2,1,2,0,Col_RFS_TD2.conllu
17.0,paččēn,NOUN,18.0,ēw,DET,det,1.0,after,2,1,2,0,Col_RFS_TD2.conllu
1.0,pursišn,NOUN,3.0,dar,NOUN,nmod,2.0,after,2,2,2,0,DD-K35.conllu
1.0,pursišn,NOUN,12.0,kirdan,VERB,acl:relcl,11.0,after,2,5,1,1,DD-K35.conllu
3.0,dar,NOUN,2.0,čand,DET,det,1.0,before,1,1,2,0,DD-K35.conllu
5.0,mihrxwaršēd,PROPN,7.0,ādurmahān,PROPN,nmod,2.0,after,1,2,1,0,DD-K35.conllu
7.0,ādurmahān,PROPN,6.0,ī,DET,det,1.0,before,1,1,2,0,DD-K35.conllu
10.0,mānuščihr,PROPN,8.0,az,ADP,case,2.0,before,3,1,2,0,DD-K35.conllu
10.0,mānuščihr,PROPN,9.0,anōšag-ruwān,ADJ,amod,1.0,before,3,1,2,0,DD-K35.conllu
10.0,mānuščihr,PROPN,11.0,ǰuwānǰamān,PROPN,nmod,1.0,after,3,1,2,0,DD-K35.conllu
15.0,hudēn,NOUN,14.0,abārīg,DET,det,1.0,before,1,1,2,0,DD-K35.conllu
18.0,passox,NOUN,16.0,az1,ADP,case,2.0,before,2,1,2,0,DD-K35.conllu
18.0,passox,NOUN,17.0,ōy,PRON,nmod,1.0,before,2,1,2,0,DD-K35.conllu
2.0,nām,NOUN,1.0,pad,ADP,case,1.0,before,3,1,2,0,DD-K35.conllu
2.0,nām,NOUN,4.0,nērōg,NOUN,conj,2.0,after,3,3,2,0,DD-K35.conllu
2.0,nām,NOUN,6.0,dādār,NOUN,nmod,4.0,after,3,6,2,0,DD-K35.conllu
4.0,nērōg,NOUN,3.0,ud,CCONJ,cc,1.0,before,2,1,2,0,DD-K35.conllu
4.0,nērōg,NOUN,5.0,ayārīh,NOUN,conj,1.0,after,2,1,2,0,DD-K35.conllu
6.0,dādār,NOUN,7.0,ohrmazd,PROPN,appos,1.0,after,5,1,2,0,DD-K35.conllu
6.0,dādār,NOUN,8.0,wisp,PRON,nmod,2.0,after,5,1,2,0,DD-K35.conllu
6.0,dādār,NOUN,10.0,yazad,NOUN,conj,4.0,after,5,2,2,0,DD-K35.conllu
6.0,dādār,NOUN,12.0,yazad,NOUN,conj,6.0,after,5,4,2,0,DD-K35.conllu
6.0,dādār,NOUN,21.0,dām1,NOUN,conj,15.0,after,5,4,2,0,DD-K35.conllu
10.0,yazad,NOUN,9.0,ud,CCONJ,cc,1.0,before,1,1,2,0,DD-K35.conllu
12.0,yazad,NOUN,11.0,hamāg,DET,det,1.0,before,3,1,2,0,DD-K35.conllu
12.0,yazad,NOUN,14.0,mēnōyān,NOUN,nmod,2.0,after,3,2,1,0,DD-K35.conllu
12.0,yazad,NOUN,16.0,yazad,NOUN,conj,4.0,after,3,3,2,0,DD-K35.conllu
14.0,mēnōyān,NOUN,13.0,ī,DET,det,1.0,before,1,1,2,0,DD-K35.conllu
16.0,yazad,NOUN,15.0,ud,CCONJ,cc,1.0,before,2,1,2,0,DD-K35.conllu
16.0,yazad,NOUN,18.0,gētīyān,NOUN,nmod,2.0,after,2,2,1,0,DD-K35.conllu
18.0,gētīyān,NOUN,17.0,ī,DET,det,1.0,before,1,1,2,0,DD-K35.conllu
21.0,dām1,NOUN,19.0,ud,CCONJ,cc,2.0,before,3,1,2,0,DD-K35.conllu
21.0,dām1,NOUN,20.0,hamāg,DET,det,1.0,before,3,1,2,0,DD-K35.conllu
21.0,dām1,NOUN,23.0,dahišn,NOUN,conj,2.0,after,3,3,2,0,DD-K35.conllu
23.0,dahišn,NOUN,22.0,ud,CCONJ,cc,1.0,before,2,1,2,0,DD-K35.conllu
23.0,dahišn,NOUN,30.0,wuspurr-windēnīdan,VERB,acl:relcl,7.0,after,2,5,1,1,DD-K35.conllu
27.0,dahišn,NOUN,26.0,ō,ADP,case,1.0,before,2,1,2,0,DD-K35.conllu
27.0,dahišn,NOUN,28.0,xwēš,PRON,nmod,1.0,after,2,1,2,0,DD-K35.conllu
1.0,hudēn,NOUN,4.0,pursīdār,NOUN,nmod,3.0,after,2,4,1,0,DD-K35.conllu
1.0,hudēn,NOUN,32.0,paydāg,ADJ,acl:relcl,31.0,after,2,5,2,0,DD-K35.conllu
4.0,pursīdār,NOUN,2.0,ī,DET,det,2.0,before,3,1,2,0,DD-K35.conllu
4.0,pursīdār,NOUN,3.0,ēd,PRON,nmod,1.0,before,3,1,2,0,DD-K35.conllu
4.0,pursīdār,NOUN,7.0,nērōg,NOUN,nmod,3.0,after,3,7,2,0,DD-K35.conllu
7.0,nērōg,NOUN,5.0,az1,ADP,case,2.0,before,6,1,2,0,DD-K35.conllu
7.0,nērōg,NOUN,6.0,stāyišnīg,ADJ,amod,1.0,before,6,1,2,0,DD-K35.conllu
7.0,nērōg,NOUN,9.0,čihr,NOUN,nmod,2.0,after,6,2,1,0,DD-K35.conllu
7.0,nērōg,NOUN,11.0,zōr,NOUN,conj,4.0,after,6,3,2,0,DD-K35.conllu
7.0,nērōg,NOUN,15.0,daxšag,NOUN,conj,8.0,after,6,3,2,0,DD-K35.conllu
7.0,nērōg,NOUN,19.0,nišān,NOUN,conj,12.0,after,6,3,2,0,DD-K35.conllu
9.0,čihr,NOUN,8.0,ī,DET,det,1.0,before,1,1,2,0,DD-K35.conllu
11.0,zōr,NOUN,10.0,ud,CCONJ,cc,1.0,before,2,1,2,0,DD-K35.conllu
11.0,zōr,NOUN,13.0,gōhr,NOUN,nmod,2.0,after,2,2,1,0,DD-K35.conllu
13.0,gōhr,NOUN,12.0,ī,DET,det,1.0,before,1,1,2,0,DD-K35.conllu
15.0,daxšag,NOUN,14.0,ud,CCONJ,cc,1.0,before,2,1,2,0,DD-K35.conllu
15.0,daxšag,NOUN,17.0,xrad,NOUN,nmod,2.0,after,2,2,1,0,DD-K35.conllu
17.0,xrad,NOUN,16.0,ī,DET,det,1.0,before,1,1,2,0,DD-K35.conllu
19.0,nišān,NOUN,18.0,ud,CCONJ,cc,1.0,before,2,1,2,0,DD-K35.conllu
19.0,nišān,NOUN,21.0,hunar,NOUN,nmod,2.0,after,2,2,1,0,DD-K35.conllu
21.0,hunar,NOUN,20.0,ī,DET,det,1.0,before,1,1,2,0,DD-K35.conllu
25.0,xrad-xwāyišnīh,NOUN,24.0,=iz,ADV,advmod,1.0,before,1,1,2,0,DD-K35.conllu
28.0,kirbag-uskārišn,NOUN,30.0,dēnīg-wizōyišn,NOUN,conj,2.0,after,1,2,2,0,DD-K35.conllu
30.0,dēnīg-wizōyišn,NOUN,29.0,ud,CCONJ,cc,1.0,before,1,1,2,0,DD-K35.conllu
31.0,pursišn,NOUN,28.0,kirbag-uskārišn,NOUN,nmod,3.0,before,1,2,2,0,DD-K35.conllu
34.0,mānuščihr,PROPN,33.0,az1,ADP,case,1.0,before,2,1,2,0,DD-K35.conllu
34.0,mānuščihr,PROPN,36.0,ǰuwānǰam,PROPN,nmod,2.0,after,2,2,1,0,DD-K35.conllu
36.0,ǰuwānǰam,PROPN,35.0,ī,DET,det,1.0,before,1,1,2,0,DD-K35.conllu
37.0,āfrīn,NOUN,1.0,hudēn,NOUN,iobj,36.0,before,2,3,2,0,DD-K35.conllu
37.0,āfrīn,NOUN,34.0,mānuščihr,PROPN,obl,3.0,before,2,3,2,0,DD-K35.conllu
16.0,nāmag,NOUN,9.0,andar,ADP,case,7.0,before,3,1,2,0,DD-K35.conllu
16.0,nāmag,NOUN,10.0,ēd,DET,det,6.0,before,3,1,2,0,DD-K35.conllu
16.0,nāmag,NOUN,11.0,pursišnīg,ADJ,amod,5.0,before,3,1,2,0,DD-K35.conllu
30.0,ašmāh,PRON,28.0,ō,ADP,case,2.0,before,4,1,2,0,DD-K35.conllu
30.0,ašmāh,PRON,29.0,=iz,ADV,advmod,1.0,before,4,1,2,0,DD-K35.conllu
30.0,ašmāh,PRON,31.0,hamist,DET,det,1.0,after,4,1,2,0,DD-K35.conllu
30.0,ašmāh,PRON,33.0,hampaywand,NOUN,conj,3.0,after,4,2,2,0,DD-K35.conllu
33.0,hampaywand,NOUN,32.0,ud,CCONJ,cc,1.0,before,1,1,2,0,DD-K35.conllu
6.0,nēk-frazāmīh,NOUN,5.0,ō,ADP,case,1.0,before,1,1,2,0,DD-K35.conllu
8.0,ān,PRON,11.0,framūdan,VERB,acl:relcl,3.0,after,1,4,1,1,DD-K35.conllu
14.0,ayāsišn,NOUN,13.0,abar,ADP,case,1.0,before,2,1,2,0,DD-K35.conllu
14.0,ayāsišn,NOUN,17.0,hamwēnišnīh,NOUN,nmod,3.0,after,2,7,1,0,DD-K35.conllu
17.0,hamwēnišnīh,NOUN,15.0,ī,DET,det,2.0,before,6,1,2,0,DD-K35.conllu
17.0,hamwēnišnīh,NOUN,16.0,ō,ADP,case,1.0,before,6,1,2,0,DD-K35.conllu
17.0,hamwēnišnīh,NOUN,19.0,hampursagīh,NOUN,conj,2.0,after,6,2,2,0,DD-K35.conllu
17.0,hamwēnišnīh,NOUN,21.0,man,PRON,nmod,4.0,after,6,2,1,0,DD-K35.conllu
17.0,hamwēnišnīh,NOUN,23.0,mihrbānīh,NOUN,conj,6.0,after,6,2,2,0,DD-K35.conllu
17.0,hamwēnišnīh,NOUN,25.0,dēn-dōstīh,NOUN,conj,8.0,after,6,3,2,0,DD-K35.conllu
19.0,hampursagīh,NOUN,18.0,ud,CCONJ,cc,1.0,before,1,1,2,0,DD-K35.conllu
21.0,man,PRON,20.0,ī,DET,det,1.0,before,1,1,2,0,DD-K35.conllu
23.0,mihrbānīh,NOUN,22.0,ud,CCONJ,cc,1.0,before,1,1,2,0,DD-K35.conllu
25.0,dēn-dōstīh,NOUN,24.0,ud,CCONJ,cc,1.0,before,2,1,2,0,DD-K35.conllu
25.0,dēn-dōstīh,NOUN,26.0,xwad,PRON,nmod,1.0,after,2,1,2,0,DD-K35.conllu
1.0,amāh,PRON,4.0,hamist,DET,det,3.0,after,2,2,1,0,DD-K35.conllu
1.0,amāh,PRON,7.0,bandag,NOUN,acl:relcl,6.0,after,2,8,2,0,DD-K35.conllu
7.0,bandag,NOUN,5.0,kē,SCONJ,mark,2.0,before,7,1,2,0,DD-K35.conllu
7.0,bandag,NOUN,6.0,yazad,NOUN,nmod,1.0,before,7,1,2,0,DD-K35.conllu
7.0,bandag,NOUN,13.0,hamspāh,NOUN,conj,6.0,after,7,3,2,0,DD-K35.conllu
7.0,bandag,NOUN,21.0,ham-ēstišn,ADJ,conj,14.0,after,7,2,2,0,DD-K35.conllu
7.0,bandag,NOUN,28.0,ham-tuxšišn,ADJ,conj,21.0,after,7,2,2,0,DD-K35.conllu
7.0,bandag,NOUN,37.0,ham-ārzōg,ADJ,conj,30.0,after,7,2,2,0,DD-K35.conllu
7.0,bandag,NOUN,47.0,ham-ēmēd,ADJ,conj,40.0,after,7,3,2,0,DD-K35.conllu
10.0,kōxšišn,NOUN,9.0,pad,ADP,case,1.0,before,2,1,2,0,DD-K35.conllu
10.0,kōxšišn,NOUN,12.0,druz,NOUN,nmod,2.0,after,2,2,1,0,DD-K35.conllu
12.0,druz,NOUN,11.0,ī,DET,det,1.0,before,1,1,2,0,DD-K35.conllu
13.0,hamspāh,NOUN,8.0,ud,CCONJ,cc,5.0,before,2,1,2,0,DD-K35.conllu
13.0,hamspāh,NOUN,10.0,kōxšišn,NOUN,obl,3.0,before,2,3,2,0,DD-K35.conllu
15.0,āstawānīh,NOUN,14.0,pad,ADP,case,1.0,before,2,1,2,0,DD-K35.conllu
15.0,āstawānīh,NOUN,18.0,weh-dēn,NOUN,nmod,3.0,after,2,4,1,0,DD-K35.conllu
18.0,weh-dēn,NOUN,16.0,ī,DET,det,2.0,before,3,1,2,0,DD-K35.conllu
18.0,weh-dēn,NOUN,17.0,abar,ADP,case,1.0,before,3,1,2,0,DD-K35.conllu
18.0,weh-dēn,NOUN,20.0,mazdēsn,ADJ,amod,2.0,after,3,2,1,0,DD-K35.conllu
26.0,ahlāyīh,NOUN,25.0,ī,DET,det,1.0,before,1,1,2,0,DD-K35.conllu
27.0,rāh,NOUN,22.0,pad,ADP,case,5.0,before,4,1,2,0,DD-K35.conllu
27.0,rāh,NOUN,23.0,ēk,NUM,nummod,4.0,before,4,1,2,0,DD-K35.conllu
27.0,rāh,NOUN,24.0,ān,DET,det,3.0,before,4,1,2,0,DD-K35.conllu
27.0,rāh,NOUN,26.0,ahlāyīh,NOUN,nmod,1.0,before,4,2,1,0,DD-K35.conllu
30.0,gāh,NOUN,29.0,ō,ADP,case,1.0,before,2,1,2,0,DD-K35.conllu
30.0,gāh,NOUN,36.0,axwān,NOUN,nmod,6.0,after,2,5,1,0,DD-K35.conllu
36.0,axwān,NOUN,31.0,ī,DET,det,5.0,before,4,1,2,0,DD-K35.conllu
36.0,axwān,NOUN,32.0,andar,ADP,case,4.0,before,4,1,2,0,DD-K35.conllu
36.0,axwān,NOUN,33.0,ān,DET,det,3.0,before,4,1,2,0,DD-K35.conllu
36.0,axwān,NOUN,35.0,pāšom,ADJ,amod,1.0,before,4,2,1,0,DD-K35.conllu
39.0,hāzišn,NOUN,38.0,pad,ADP,case,1.0,before,2,1,2,0,DD-K35.conllu
39.0,hāzišn,NOUN,46.0,frašegird,NOUN,nmod,7.0,after,2,4,1,0,DD-K35.conllu
45.0,axwān,NOUN,42.0,ān,DET,det,3.0,before,2,1,2,0,DD-K35.conllu
45.0,axwān,NOUN,44.0,pāšom,ADJ,amod,1.0,before,2,2,1,0,DD-K35.conllu
46.0,frašegird,NOUN,40.0,ī,DET,det,6.0,before,3,1,2,0,DD-K35.conllu
46.0,frašegird,NOUN,41.0,ō,ADP,case,5.0,before,3,1,2,0,DD-K35.conllu
46.0,frašegird,NOUN,45.0,axwān,NOUN,nmod,1.0,before,3,3,2,0,DD-K35.conllu
52.0,hamwēnišnīh,NOUN,49.0,ān,DET,det,3.0,before,3,1,2,0,DD-K35.conllu
52.0,hamwēnišnīh,NOUN,50.0,amāh,PRON,nmod,2.0,before,3,1,2,0,DD-K35.conllu
52.0,hamwēnišnīh,NOUN,54.0,hampursagīh,NOUN,conj,2.0,after,3,2,2,0,DD-K35.conllu
54.0,hampursagīh,NOUN,53.0,ud,CCONJ,cc,1.0,before,1,1,2,0,DD-K35.conllu
57.0,ōy,PRON,56.0,az1,ADP,case,1.0,before,1,1,2,0,DD-K35.conllu
2.0,ān,PRON,1.0,ud,CCONJ,cc,1.0,before,3,1,2,0,DD-K35.conllu
2.0,ān,PRON,3.0,=iz,ADV,advmod,1.0,after,3,1,2,0,DD-K35.conllu
2.0,ān,PRON,6.0,nigēxtan,VERB,acl:relcl,4.0,after,3,4,1,1,DD-K35.conllu
16.0,hamwēnišnīh,NOUN,15.0,pad,ADP,case,1.0,before,2,1,2,0,DD-K35.conllu
16.0,hamwēnišnīh,NOUN,18.0,hampursagīh,NOUN,conj,2.0,after,2,2,2,0,DD-K35.conllu
18.0,hampursagīh,NOUN,17.0,ud,CCONJ,cc,1.0,before,1,1,2,0,DD-K35.conllu
22.0,kirbag,NOUN,7.0,kū,SCONJ,mark,15.0,before,5,1,2,0,DD-K35.conllu
22.0,kirbag,NOUN,19.0,nazdīk,ADJ,dislocated:topic,3.0,before,5,4,2,0,DD-K35.conllu
22.0,kirbag,NOUN,20.0,ēg,ADV,advmod,2.0,before,5,1,2,0,DD-K35.conllu
22.0,kirbag,NOUN,21.0,ōy,PRON,obl,1.0,before,5,1,2,0,DD-K35.conllu
22.0,kirbag,NOUN,25.0,waxšišnīg,ADJ,amod,3.0,after,5,3,1,0,DD-K35.conllu
2.0,stāyišn,NOUN,12.0,framūdan,VERB,acl:relcl,10.0,after,1,4,1,1,DD-K35.conllu
5.0,man,PRON,6.0,rāy,ADP,case,1.0,after,1,1,2,0,DD-K35.conllu
9.0,sāmān,NOUN,8.0,az1,ADP,case,1.0,before,2,1,2,0,DD-K35.conllu
9.0,sāmān,NOUN,11.0,pāyag,NOUN,nmod,2.0,after,2,2,2,0,DD-K35.conllu
11.0,pāyag,NOUN,10.0,meh,ADJ,amod,1.0,before,1,1,2,0,DD-K35.conllu
15.0,čim,NOUN,1.0,ud,CCONJ,cc,14.0,before,6,1,2,0,DD-K35.conllu
15.0,čim,NOUN,2.0,stāyišn,NOUN,nsubj,13.0,before,6,2,2,0,DD-K35.conllu
15.0,čim,NOUN,14.0,ud,CCONJ,cc:nc,1.0,before,6,1,2,0,DD-K35.conllu
15.0,čim,NOUN,16.0,mādayān,ADJ,amod,1.0,after,6,1,2,0,DD-K35.conllu
15.0,čim,NOUN,18.0,nigerišn,NOUN,nmod,3.0,after,6,3,2,0,DD-K35.conllu
15.0,čim,NOUN,26.0,rāh,NOUN,conj,11.0,after,6,5,2,0,DD-K35.conllu
18.0,nigerišn,NOUN,17.0,purr-dōstīh,NOUN,nmod,1.0,before,2,1,2,0,DD-K35.conllu
18.0,nigerišn,NOUN,21.0,hučašmīh,NOUN,nmod,3.0,after,2,3,1,0,DD-K35.conllu
21.0,hučašmīh,NOUN,19.0,ī,DET,det,2.0,before,2,1,2,0,DD-K35.conllu
21.0,hučašmīh,NOUN,20.0,pad,ADP,case,1.0,before,2,1,2,0,DD-K35.conllu
25.0,ōy,PRON,24.0,pad,ADP,case,1.0,before,1,1,2,0,DD-K35.conllu
26.0,rāh,NOUN,22.0,ud,CCONJ,cc,4.0,before,4,1,2,0,DD-K35.conllu
26.0,rāh,NOUN,23.0,man,PRON,obl,3.0,before,4,1,2,0,DD-K35.conllu
26.0,rāh,NOUN,25.0,ōy,PRON,obl,1.0,before,4,2,2,0,DD-K35.conllu
26.0,rāh,NOUN,29.0,spāsdārīh,NOUN,nmod,3.0,after,4,3,1,0,DD-K35.conllu
29.0,spāsdārīh,NOUN,27.0,ī,DET,det,2.0,before,2,1,2,0,DD-K35.conllu
29.0,spāsdārīh,NOUN,28.0,ō,ADP,case,1.0,before,2,1,2,0,DD-K35.conllu
1.0,ān,PRON,17.0,framūdan,VERB,acl:relcl,16.0,after,1,4,1,1,DD-K35.conllu
5.0,dānistan,NOUN,4.0,pad,ADP,case,1.0,before,2,1,2,0,DD-K35.conllu
5.0,dānistan,NOUN,7.0,šnāxtan,NOUN,conj,2.0,after,2,2,2,0,DD-K35.conllu
7.0,šnāxtan,NOUN,6.0,ud,CCONJ,cc,1.0,before,1,1,2,0,DD-K35.conllu
8.0,rāh,NOUN,5.0,dānistan,NOUN,nmod,3.0,before,1,3,2,0,DD-K35.conllu
14.0,kas,PRON,12.0,ō,ADP,case,2.0,before,2,1,2,0,DD-K35.conllu
14.0,kas,PRON,13.0,any,DET,det,1.0,before,2,1,2,0,DD-K35.conllu
21.0,dōšāramīh,NOUN,19.0,az1,ADP,case,2.0,before,2,1,2,0,DD-K35.conllu
21.0,dōšāramīh,NOUN,20.0,ašmāh,PRON,nmod,1.0,before,2,1,2,0,DD-K35.conllu
24.0,hučašmīh,NOUN,22.0,ud,CCONJ,cc,2.0,before,4,1,2,0,DD-K35.conllu
24.0,hučašmīh,NOUN,23.0,ōrōn,ADV,advmod,1.0,before,4,1,2,0,DD-K35.conllu
24.0,hučašmīh,NOUN,26.0,mādagwarīh,NOUN,conj,2.0,after,4,3,2,0,DD-K35.conllu
24.0,hučašmīh,NOUN,29.0,rāy,ADP,case,5.0,after,4,1,2,0,DD-K35.conllu
26.0,mādagwarīh,NOUN,25.0,bē,ADP,cc,1.0,before,2,1,2,0,DD-K35.conllu
26.0,mādagwarīh,NOUN,28.0,rāstīh,NOUN,nmod,2.0,after,2,2,1,0,DD-K35.conllu
28.0,rāstīh,NOUN,27.0,ī,DET,det,1.0,before,1,1,2,0,DD-K35.conllu
5.0,mēnōy-mard,NOUN,2.0,ō,ADP,case,3.0,before,4,1,2,0,DD-K35.conllu
5.0,mēnōy-mard,NOUN,3.0,=iz,ADV,advmod,2.0,before,4,1,2,0,DD-K35.conllu
5.0,mēnōy-mard,NOUN,4.0,abārīg,DET,det,1.0,before,4,1,2,0,DD-K35.conllu
5.0,mēnōy-mard,NOUN,7.0,hunar,NOUN,nmod,2.0,after,4,4,2,0,DD-K35.conllu
7.0,hunar,NOUN,6.0,pad,ADP,case,1.0,before,3,1,2,0,DD-K35.conllu
7.0,hunar,NOUN,9.0,awēšān,PRON,nmod,2.0,after,3,1,2,0,DD-K35.conllu
7.0,hunar,NOUN,10.0,bowandag-menīdār-īhā,ADV,advmod,3.0,after,3,2,1,0,DD-K35.conllu
5.0,kōxšīdārīh,NOUN,2.0,abāg,ADP,case,3.0,before,6,1,2,0,DD-K35.conllu
5.0,kōxšīdārīh,NOUN,3.0,=iz,ADV,advmod,2.0,before,6,1,2,0,DD-K35.conllu
5.0,kōxšīdārīh,NOUN,4.0,škeft,ADJ,amod,1.0,before,6,1,2,0,DD-K35.conllu
5.0,kōxšīdārīh,NOUN,7.0,druz,NOUN,nmod,2.0,after,6,2,1,0,DD-K35.conllu
5.0,kōxšīdārīh,NOUN,9.0,wišōbišn,NOUN,conj,4.0,after,6,2,2,0,DD-K35.conllu
5.0,kōxšīdārīh,NOUN,11.0,zūrīh,NOUN,conj,6.0,after,6,3,2,0,DD-K35.conllu
7.0,druz,NOUN,6.0,ī,DET,det,1.0,before,1,1,2,0,DD-K35.conllu
9.0,wišōbišn,NOUN,8.0,garān,ADJ,amod,1.0,before,1,1,2,0,DD-K35.conllu
11.0,zūrīh,NOUN,10.0,ud,CCONJ,cc,1.0,before,2,1,2,0,DD-K35.conllu
11.0,zūrīh,NOUN,15.0,madan,VERB,acl:relcl,4.0,after,2,4,1,1,DD-K35.conllu
14.0,dēnīg,NOUN,13.0,ō,ADP,case,1.0,before,1,1,2,0,DD-K35.conllu
21.0,xwābarīh,NOUN,19.0,pad,ADP,case,2.0,before,2,1,2,0,DD-K35.conllu
21.0,xwābarīh,NOUN,20.0,yazad,NOUN,nmod,1.0,before,2,1,2,0,DD-K35.conllu
24.0,rad,NOUN,25.0,mowbed,NOUN,conj,1.0,after,7,1,2,0,DD-K35.conllu
24.0,rad,NOUN,27.0,dastwar,NOUN,conj,3.0,after,7,2,2,0,DD-K35.conllu
24.0,rad,NOUN,29.0,dādwar,NOUN,conj,5.0,after,7,2,2,0,DD-K35.conllu
24.0,rad,NOUN,33.0,dēnīg,NOUN,conj,9.0,after,7,4,2,0,DD-K35.conllu
24.0,rad,NOUN,35.0,dēnīgbed,NOUN,conj,11.0,after,7,3,2,0,DD-K35.conllu
24.0,rad,NOUN,41.0,hērbed,NOUN,conj,17.0,after,7,4,2,0,DD-K35.conllu
24.0,rad,NOUN,42.0,mēnōy-mard,NOUN,conj,18.0,after,7,2,2,0,DD-K35.conllu
27.0,dastwar,NOUN,26.0,ud,CCONJ,cc,1.0,before,1,1,2,0,DD-K35.conllu
29.0,dādwar,NOUN,28.0,ud,CCONJ,cc,1.0,before,1,1,2,0,DD-K35.conllu
33.0,dēnīg,NOUN,30.0,ud,CCONJ,cc,3.0,before,3,1,2,0,DD-K35.conllu
33.0,dēnīg,NOUN,31.0,abārīg,PRON,det,2.0,before,3,1,2,0,DD-K35.conllu
33.0,dēnīg,NOUN,32.0,=iz,ADV,advmod,1.0,before,3,1,2,0,DD-K35.conllu
35.0,dēnīgbed,NOUN,34.0,ud,CCONJ,cc,1.0,before,2,1,2,0,DD-K35.conllu
35.0,dēnīgbed,NOUN,37.0,kustag,NOUN,nmod,2.0,after,2,3,1,0,DD-K35.conllu
37.0,kustag,NOUN,36.0,ī,DET,det,1.0,before,2,1,2,0,DD-K35.conllu
37.0,kustag,NOUN,38.0,kustag,NOUN,compound:redup,1.0,after,2,1,2,0,DD-K35.conllu
41.0,hērbed,NOUN,39.0,any,DET,det,2.0,before,3,1,2,0,DD-K35.conllu
